title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  normal"
start,end
2014-02-01,2014-07-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[5] Number of Jobs Submitted","[16] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[64] Number of Jobs Submitted","[3] Number of Jobs Submitted","[9] Number of Jobs Submitted","[32] Number of Jobs Submitted","[24] Number of Jobs Submitted","[7] Number of Jobs Submitted","[10] Number of Jobs Submitted","[6] Number of Jobs Submitted","[48] Number of Jobs Submitted","[18] Number of Jobs Submitted","[37] Number of Jobs Submitted","[17] Number of Jobs Submitted","[12] Number of Jobs Submitted","[256] Number of Jobs Submitted","[128] Number of Jobs Submitted","[30] Number of Jobs Submitted","[25] Number of Jobs Submitted","[74] Number of Jobs Submitted","[80] Number of Jobs Submitted","[20] Number of Jobs Submitted","[82] Number of Jobs Submitted","[15] Number of Jobs Submitted","[40] Number of Jobs Submitted","[13] Number of Jobs Submitted","[36] Number of Jobs Submitted","[14] Number of Jobs Submitted","[27] Number of Jobs Submitted","[100] Number of Jobs Submitted","[11] Number of Jobs Submitted","[181] Number of Jobs Submitted","[50] Number of Jobs Submitted","[244] Number of Jobs Submitted","[157] Number of Jobs Submitted","[60] Number of Jobs Submitted","[216] Number of Jobs Submitted","[19] Number of Jobs Submitted","[240] Number of Jobs Submitted","[21] Number of Jobs Submitted","[192] Number of Jobs Submitted","[45] Number of Jobs Submitted","[62] Number of Jobs Submitted","[250] Number of Jobs Submitted","[125] Number of Jobs Submitted","[28] Number of Jobs Submitted","[63] Number of Jobs Submitted","[31] Number of Jobs Submitted","[144] Number of Jobs Submitted","[72] Number of Jobs Submitted","[57] Number of Jobs Submitted","[26] Number of Jobs Submitted","[38] Number of Jobs Submitted","[34] Number of Jobs Submitted","[22] Number of Jobs Submitted","[81] Number of Jobs Submitted","[96] Number of Jobs Submitted","[23] Number of Jobs Submitted","[135] Number of Jobs Submitted","[122] Number of Jobs Submitted","[109] Number of Jobs Submitted","[33] Number of Jobs Submitted","[120] Number of Jobs Submitted","[77] Number of Jobs Submitted","[127] Number of Jobs Submitted","[252] Number of Jobs Submitted","[148] Number of Jobs Submitted","[160] Number of Jobs Submitted","[75] Number of Jobs Submitted","[108] Number of Jobs Submitted","[92] Number of Jobs Submitted","[68] Number of Jobs Submitted","[180] Number of Jobs Submitted","[183] Number of Jobs Submitted","[43] Number of Jobs Submitted","[200] Number of Jobs Submitted","[29] Number of Jobs Submitted","[35] Number of Jobs Submitted","[61] Number of Jobs Submitted","[46] Number of Jobs Submitted","[90] Number of Jobs Submitted","[65] Number of Jobs Submitted","[56] Number of Jobs Submitted","[84] Number of Jobs Submitted","[150] Number of Jobs Submitted","[54] Number of Jobs Submitted","[42] Number of Jobs Submitted","[44] Number of Jobs Submitted","[110] Number of Jobs Submitted","[119] Number of Jobs Submitted","[121] Number of Jobs Submitted","[140] Number of Jobs Submitted","[196] Number of Jobs Submitted","[220] Number of Jobs Submitted","[70] Number of Jobs Submitted","[85] Number of Jobs Submitted","[98] Number of Jobs Submitted","[52] Number of Jobs Submitted","[41] Number of Jobs Submitted","[224] Number of Jobs Submitted","[225] Number of Jobs Submitted","[111] Number of Jobs Submitted","[162] Number of Jobs Submitted","[219] Number of Jobs Submitted","[49] Number of Jobs Submitted","[102] Number of Jobs Submitted","[129] Number of Jobs Submitted","[168] Number of Jobs Submitted","[182] Number of Jobs Submitted","[55] Number of Jobs Submitted","[185] Number of Jobs Submitted","[66] Number of Jobs Submitted","[138] Number of Jobs Submitted","[47] Number of Jobs Submitted","[132] Number of Jobs Submitted","[95] Number of Jobs Submitted","[130] Number of Jobs Submitted","[169] Number of Jobs Submitted","[217] Number of Jobs Submitted","[165] Number of Jobs Submitted","[1024] Number of Jobs Submitted","[39] Number of Jobs Submitted","[78] Number of Jobs Submitted","[124] Number of Jobs Submitted","[172] Number of Jobs Submitted","[226] Number of Jobs Submitted","[241] Number of Jobs Submitted","[76] Number of Jobs Submitted","[101] Number of Jobs Submitted","[107] Number of Jobs Submitted","[112] Number of Jobs Submitted","[190] Number of Jobs Submitted","[237] Number of Jobs Submitted","[242] Number of Jobs Submitted","[86] Number of Jobs Submitted","[147] Number of Jobs Submitted","[187] Number of Jobs Submitted","[210] Number of Jobs Submitted","[51] Number of Jobs Submitted","[73] Number of Jobs Submitted","[104] Number of Jobs Submitted","[123] Number of Jobs Submitted","[126] Number of Jobs Submitted","[136] Number of Jobs Submitted","[146] Number of Jobs Submitted","[170] Number of Jobs Submitted","[218] Number of Jobs Submitted","[640] Number of Jobs Submitted","[161] Number of Jobs Submitted","[176] Number of Jobs Submitted","[248] Number of Jobs Submitted","[255] Number of Jobs Submitted","[83] Number of Jobs Submitted","[105] Number of Jobs Submitted","[113] Number of Jobs Submitted","[115] Number of Jobs Submitted","[133] Number of Jobs Submitted","[154] Number of Jobs Submitted","[155] Number of Jobs Submitted","[156] Number of Jobs Submitted","[164] Number of Jobs Submitted","[166] Number of Jobs Submitted","[201] Number of Jobs Submitted","[208] Number of Jobs Submitted","[211] Number of Jobs Submitted","[245] Number of Jobs Submitted","[512] Number of Jobs Submitted","[53] Number of Jobs Submitted","[59] Number of Jobs Submitted","[67] Number of Jobs Submitted","[88] Number of Jobs Submitted","[114] Number of Jobs Submitted","[143] Number of Jobs Submitted","[151] Number of Jobs Submitted","[188] Number of Jobs Submitted","[194] Number of Jobs Submitted","[222] Number of Jobs Submitted","[232] Number of Jobs Submitted","[243] Number of Jobs Submitted","[249] Number of Jobs Submitted","[251] Number of Jobs Submitted","[500] Number of Jobs Submitted","[99] Number of Jobs Submitted","[212] Number of Jobs Submitted"
2014-03-22,79,58,0,11,10,26,4,17,0,2,0,0,8,0,0,0,0,7,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-03-23,561,952,7,35,76,43,15,38,5,11,4,55,152,27,0,0,0,167,14,19,12,1,3,0,0,1,0,3,0,0,6,0,0,0,0,0,2,4,0,9,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-24,851,1925,26,63,272,70,27,70,6,27,7,65,97,30,0,1,0,51,55,19,17,14,5,0,1,10,0,1,2,1,3,0,0,0,0,0,2,5,0,13,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-25,661,200,11,32,73,31,65,25,2,18,4,0,104,16,0,0,0,67,4,16,12,3,3,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-26,440,286,8,50,75,25,62,47,5,12,1,1,127,35,3,0,0,85,8,21,7,3,1,0,0,0,0,5,0,0,0,0,0,1,1,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-27,534,265,46,192,149,50,274,40,3,190,1,28,35,19,160,1,0,4,4,21,7,15,2,0,4,1,0,5,1,3,3,2,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-28,508,106,14,317,214,46,324,28,12,329,3,6,11,17,281,0,0,0,4,19,8,0,0,0,0,0,0,1,0,3,0,0,0,3,9,1,2,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-29,339,138,57,20,98,24,16,19,1,15,0,2,72,24,6,1,0,71,1,18,10,8,0,0,0,0,0,1,0,2,0,0,0,3,1,2,0,4,0,2,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-30,391,108,12,46,33,22,4,9,45,20,0,12,68,17,6,1,0,12,0,21,17,0,0,0,0,2,0,1,19,4,0,0,0,4,2,3,1,6,0,3,0,0,0,2,0,6,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-31,558,106,587,61,106,43,87,45,46,39,0,15,26,13,9,1,0,0,6,13,14,4,4,0,1,15,0,0,7,2,0,0,0,0,2,1,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,947,126,901,88,168,49,39,56,33,112,2,9,57,32,2,3,0,14,5,15,17,4,6,0,2,6,0,4,1,4,0,0,0,1,0,1,19,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-02,936,108,10,352,217,97,118,12,7,74,0,5,6,23,0,3,0,0,9,20,18,4,3,0,0,6,0,0,10,6,0,0,0,2,1,0,0,4,0,3,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-03,486,136,309,67,86,39,47,13,6,84,1,2,6,22,0,3,0,0,5,7,4,1,2,0,0,4,0,1,0,2,0,1,1,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-04,600,143,830,109,122,73,57,25,11,63,2,4,33,42,2,4,0,0,5,14,9,2,3,0,1,7,0,1,2,2,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-05,1143,70,903,144,76,52,38,39,14,46,2,4,25,29,0,1,0,0,4,18,9,0,3,0,2,1,0,0,2,3,0,1,0,2,0,6,0,6,0,0,0,0,0,2,0,0,0,0,11,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-06,807,176,5,110,98,29,49,28,43,102,3,4,6,48,0,2,0,0,11,22,8,0,3,0,2,2,0,2,0,5,0,2,0,0,1,9,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-07,1110,69,7,240,51,53,42,21,10,39,1,2,2,36,8,2,0,0,4,35,17,1,1,0,0,0,0,3,3,2,3,5,0,5,0,5,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-08,342,59,34,567,96,42,420,26,4,423,1,2,31,13,464,1,0,0,2,58,11,0,3,0,0,0,0,1,3,7,0,1,0,0,1,2,0,4,12,0,0,0,0,0,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-09,521,69,4,335,147,108,309,25,3,246,2,1,11,43,227,2,0,0,5,30,12,1,2,0,0,1,1,0,1,3,0,6,0,0,0,6,0,4,36,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-10,330,189,10,374,108,65,327,29,2,278,3,0,4,38,324,0,0,0,13,31,17,2,2,0,1,1,0,3,0,3,0,1,0,0,0,0,0,1,31,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-11,330,106,3,439,76,38,345,5,3,351,0,2,5,25,277,0,0,0,7,56,30,0,2,0,0,2,2,4,1,2,1,1,0,0,0,0,1,3,23,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-12,328,163,38,464,121,27,149,82,29,132,3,2,38,22,118,2,0,27,8,31,18,1,4,0,0,1,2,0,0,4,1,0,0,0,2,0,1,1,6,1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-13,1196,97,23,509,153,59,130,124,7,116,3,0,44,39,12,3,0,31,16,36,76,6,10,0,1,7,0,0,0,2,2,0,0,2,3,0,2,6,12,6,0,0,0,2,0,0,0,0,4,3,0,0,2,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-14,930,333,43,525,157,61,104,95,8,92,5,2,129,20,8,3,0,3,28,77,53,24,2,0,2,5,0,8,2,4,1,1,0,8,10,0,4,6,2,0,1,0,0,1,2,0,0,0,5,2,0,2,0,0,8,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-15,22,2,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-16,625,185,19,107,64,36,21,19,3,28,3,2,5,14,3,0,0,0,10,7,7,6,2,0,4,4,0,0,7,1,0,0,0,8,2,7,3,2,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-17,474,209,22,77,101,54,33,46,1,23,1,1,8,21,3,0,0,0,6,8,26,2,3,0,1,4,0,1,0,1,1,0,0,0,0,10,0,5,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-18,480,352,186,128,96,54,30,62,3,40,6,1,3,24,1,2,0,1,5,14,37,0,6,0,0,0,0,3,1,0,7,0,0,4,1,0,6,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
