Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[4] Number of Jobs Started,[3] Number of Jobs Started,[8] Number of Jobs Started,[16] Number of Jobs Started,[6] Number of Jobs Started,[64] Number of Jobs Started,[19] Number of Jobs Started,[32] Number of Jobs Started,[5] Number of Jobs Started,[20] Number of Jobs Started,[10] Number of Jobs Started,[25] Number of Jobs Started,[18] Number of Jobs Started,[7] Number of Jobs Started,[12] Number of Jobs Started,[40] Number of Jobs Started,[9] Number of Jobs Started,[11] Number of Jobs Started,[17] Number of Jobs Started,[13] Number of Jobs Started,[50] Number of Jobs Started,[30] Number of Jobs Started,[60] Number of Jobs Started,[35] Number of Jobs Started,[45] Number of Jobs Started,[24] Number of Jobs Started,[21] Number of Jobs Started,[28] Number of Jobs Started,[15] Number of Jobs Started,[100] Number of Jobs Started,[48] Number of Jobs Started,[128] Number of Jobs Started,[14] Number of Jobs Started,[34] Number of Jobs Started,[33] Number of Jobs Started,[22] Number of Jobs Started,[63] Number of Jobs Started,[53] Number of Jobs Started,[36] Number of Jobs Started,[42] Number of Jobs Started,[93] Number of Jobs Started,[43] Number of Jobs Started,[54] Number of Jobs Started,[55] Number of Jobs Started,[96] Number of Jobs Started,[113] Number of Jobs Started,[23] Number of Jobs Started,[26] Number of Jobs Started,[31] Number of Jobs Started,[41] Number of Jobs Started,[68] Number of Jobs Started,[27] Number of Jobs Started,[37] Number of Jobs Started,[44] Number of Jobs Started,[29] Number of Jobs Started,[69] Number of Jobs Started,[88] Number of Jobs Started,[38] Number of Jobs Started,[46] Number of Jobs Started,[51] Number of Jobs Started,[52] Number of Jobs Started,[59] Number of Jobs Started,[61] Number of Jobs Started,[65] Number of Jobs Started,[70] Number of Jobs Started,[74] Number of Jobs Started,[79] Number of Jobs Started,[80] Number of Jobs Started,[81] Number of Jobs Started,[85] Number of Jobs Started,[87] Number of Jobs Started,[90] Number of Jobs Started,[118] Number of Jobs Started
2015-07-09,628,41,14,292,19,1,2,13,16,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-10,613,39,22,215,12,19,1,7,7,4,0,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-11,371,24,14,58,11,4,0,7,0,3,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-12,427,37,38,89,15,2,0,19,0,1,1,3,5,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-13,478,23,17,251,9,8,5,9,0,7,3,3,3,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-14,558,35,21,326,13,7,3,5,0,10,4,4,1,1,0,0,0,2,0,0,0,0,2,2,1,1,1,1,1,2,0,1,3,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2015-07-15,624,18,12,228,7,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-16,513,35,17,75,6,1,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-17,609,105,37,3,6,1,3,6,0,2,0,0,1,0,0,2,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-18,470,96,29,5,6,0,0,9,0,8,0,1,0,0,0,0,1,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-19,616,57,21,7,2,3,1,2,0,4,1,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-20,454,56,4,21,2,3,0,4,0,2,0,1,4,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-21,574,90,20,33,9,2,1,8,0,6,13,1,3,0,0,0,1,0,4,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-22,537,83,17,30,4,4,12,28,0,4,4,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-23,495,39,8,23,8,1,5,11,3,6,10,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-24,630,41,29,10,9,4,10,32,4,5,0,1,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-25,419,26,27,3,18,9,3,7,1,6,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-26,308,27,22,7,12,3,0,2,4,4,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-27,512,33,23,6,14,2,0,7,5,2,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28,505,16,13,24,1,4,6,5,2,2,9,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-29,448,58,24,35,17,6,8,9,1,4,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-30,450,16,22,61,10,2,1,3,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-31,514,20,5,50,4,2,21,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
