,[CCT LSU SUPERMIC] Number of Jobs Started,[GATECH KEENELAND] Number of Jobs Started,[GATECH KIDS] Number of Jobs Started,[IU BIGRED*] Number of Jobs Started,[LONI QUEENBEE] Number of Jobs Started,[NCAR FROST] Number of Jobs Started,[NCSA ABE] Number of Jobs Started,[NCSA COBALT] Number of Jobs Started,[NCSA DTF] Number of Jobs Started,[NCSA EMBER*] Number of Jobs Started,[NCSA FORGE] Number of Jobs Started,[NCSA LINCOLN] Number of Jobs Started,[NICS ATHENA] Number of Jobs Started,[NICS DARTER] Number of Jobs Started,[NICS KRAKEN] Number of Jobs Started,[NICS NAUTILUS] Number of Jobs Started,[ORNL NSTG] Number of Jobs Started,[OSG] Number of Jobs Started,[PSC BIGBEN] Number of Jobs Started,[PSC BLACKLIGHT] Number of Jobs Started,[PSC BRIDGES LARGE] Number of Jobs Started,[PSC BRIDGES] Number of Jobs Started,[PSC GREENFIELD] Number of Jobs Started,[PSC POPLE] Number of Jobs Started,[PURDUE CONDOR] Number of Jobs Started,[PURDUE STEELE] Number of Jobs Started,[SDSC COMET] Number of Jobs Started,[SDSC DASH] Number of Jobs Started,[SDSC GORDON] Number of Jobs Started,[SDSC TRESTLES] Number of Jobs Started,[Stanford XSTREAM] Number of Jobs Started,[TACC LONESTAR4] Number of Jobs Started,[TACC LONESTAR] Number of Jobs Started,[TACC LONGHORN] Number of Jobs Started,[TACC MAVERICK2] Number of Jobs Started,[TACC RANGER] Number of Jobs Started,[TACC SPUR] Number of Jobs Started,[TACC STAMPEDE] Number of Jobs Started
2013-02-03,,46.0,0.0,,,,,,,,,,,,2251.0,7.0,,,,61.0,,,,,40.0,2056.0,,,343.0,418.0,,514.0,,8.0,,562.0,,8760.0
2013-02-04,,82.0,0.0,,,,,,,,,,,,2416.0,29.0,,,,174.0,,,,,10394.0,6650.0,,,956.0,1941.0,,524.0,,26.0,,415.0,,10322.0
2013-02-05,,89.0,0.0,,,,,,,,,,,,2546.0,34.0,,,,144.0,,,,,14167.0,4104.0,,,943.0,1010.0,,512.0,,22.0,,75.0,,8834.0
2013-02-06,,68.0,0.0,,,,,,,,,,,,3123.0,46.0,,,,155.0,,,,,10598.0,5346.0,,,1109.0,1033.0,,402.0,,32.0,,30.0,,9014.0
2013-02-07,,92.0,0.0,,,,,,,,,,,,2738.0,66.0,,,,93.0,,,,,7660.0,6858.0,,,480.0,1257.0,,556.0,,63.0,,126.0,,9858.0
2013-02-08,,76.0,0.0,,,,,,,,,,,,2045.0,29.0,,,,154.0,,,,,736.0,6884.0,,,646.0,794.0,,544.0,,29.0,,7.0,,9675.0
2013-02-09,,7.0,0.0,,,,,,,,,,,,2709.0,15.0,,,,90.0,,,,,20.0,7070.0,,,349.0,1520.0,,298.0,,21.0,,1.0,,6149.0
2013-02-10,,0.0,0.0,,,,,,,,,,,,2416.0,20.0,,,,155.0,,,,,24.0,10955.0,,,172.0,122.0,,314.0,,38.0,,1.0,,5283.0
2013-02-11,,59.0,0.0,,,,,,,,,,,,3100.0,50.0,,,,160.0,,,,,583.0,7621.0,,,523.0,1480.0,,600.0,,28.0,,0.0,,4193.0
2013-02-12,,101.0,0.0,,,,,,,,,,,,1646.0,26.0,,,,186.0,,,,,21.0,10588.0,,,351.0,1784.0,,572.0,,39.0,,0.0,,916.0
2013-02-13,,48.0,0.0,,,,,,,,,,,,2479.0,43.0,,,,157.0,,,,,1090.0,11927.0,,,1072.0,1140.0,,392.0,,84.0,,0.0,,2804.0
2013-02-14,,93.0,0.0,,,,,,,,,,,,632.0,75.0,,,,112.0,,,,,38447.0,6701.0,,,1304.0,1510.0,,496.0,,29.0,,0.0,,4942.0
2013-02-15,,66.0,0.0,,,,,,,,,,,,1487.0,97.0,,,,190.0,,,,,47.0,6489.0,,,419.0,1204.0,,456.0,,25.0,,0.0,,10197.0
2013-02-16,,47.0,0.0,,,,,,,,,,,,1519.0,11.0,,,,0.0,,,,,52.0,20165.0,,,389.0,589.0,,332.0,,14.0,,0.0,,9029.0
2013-02-17,,50.0,0.0,,,,,,,,,,,,1601.0,27.0,,,,152.0,,,,,21.0,21766.0,,,573.0,789.0,,287.0,,43.0,,0.0,,14535.0
2013-02-18,,22.0,0.0,,,,,,,,,,,,1440.0,47.0,,,,197.0,,,,,498.0,12870.0,,,532.0,1110.0,,299.0,,11.0,,0.0,,12816.0
2013-02-19,,74.0,0.0,,,,,,,,,,,,1546.0,88.0,,,,247.0,,,,,303.0,2590.0,,,574.0,671.0,,714.0,,46.0,,0.0,,13687.0
2013-02-20,,28.0,0.0,,,,,,,,,,,,1860.0,28.0,,,,317.0,,,,,540.0,6651.0,,,919.0,1068.0,,635.0,,39.0,,0.0,,6135.0
2013-02-21,,62.0,0.0,,,,,,,,,,,,236.0,69.0,,,,318.0,,,,,13498.0,8691.0,,,561.0,1360.0,,388.0,,31.0,,0.0,,11853.0
2013-02-22,,64.0,0.0,,,,,,,,,,,,1388.0,38.0,,,,270.0,,,,,18817.0,7253.0,,,578.0,928.0,,341.0,,36.0,,0.0,,4614.0
2013-02-23,,32.0,0.0,,,,,,,,,,,,1498.0,49.0,,,,148.0,,,,,3718.0,4573.0,,,331.0,1082.0,,345.0,,20.0,,0.0,,3643.0
2013-02-24,,51.0,0.0,,,,,,,,,,,,1146.0,10.0,,,,270.0,,,,,20.0,9627.0,,,438.0,591.0,,417.0,,15.0,,0.0,,7973.0
2013-02-25,,26.0,0.0,,,,,,,,,,,,1891.0,10.0,,,,268.0,,,,,6125.0,6583.0,,,560.0,410.0,,543.0,,10.0,,0.0,,6097.0
2013-02-26,,56.0,0.0,,,,,,,,,,,,2161.0,119.0,,,,284.0,,,,,14014.0,11538.0,,,1233.0,943.0,,163.0,,22.0,,0.0,,1096.0
2013-02-27,,54.0,0.0,,,,,,,,,,,,2100.0,47.0,,,,553.0,,,,,182.0,9518.0,,,400.0,1005.0,,483.0,,18.0,,0.0,,2798.0
2013-02-28,,66.0,0.0,,,,,,,,,,,,2964.0,79.0,,,,775.0,,,,,24.0,16866.0,,,719.0,1316.0,,412.0,,20.0,,0.0,,3614.0
2013-03-01,,66.0,0.0,,,,,,,,,,,,2500.0,66.0,,,,347.0,,,,,164.0,10864.0,,,719.0,1097.0,,404.0,,5.0,,0.0,,1770.0
2013-03-02,,32.0,0.0,,,,,,,,,,,,1406.0,32.0,,,,265.0,,,,,30.0,3269.0,,,520.0,901.0,,408.0,,20.0,,0.0,,1366.0
2013-03-03,,46.0,0.0,,,,,,,,,,,,1414.0,16.0,,,,0.0,,,,,24.0,10725.0,,,639.0,415.0,,238.0,,20.0,,0.0,,1985.0
2013-03-04,,32.0,0.0,,,,,,,,,,,,2993.0,58.0,,,,221.0,,,,,24.0,8532.0,,,873.0,777.0,,551.0,,16.0,,0.0,,3847.0
2013-03-05,,95.0,0.0,,,,,,,,,,,,4106.0,38.0,,,,424.0,,,,,26.0,5200.0,,,637.0,615.0,,636.0,,10.0,,0.0,,2633.0
2013-03-06,,72.0,0.0,,,,,,,,,,,,3372.0,26.0,,,,455.0,,,,,29.0,8799.0,,,1262.0,490.0,,676.0,,12.0,,0.0,,3074.0
2013-03-07,,67.0,0.0,,,,,,,,,,,,4256.0,46.0,,,,540.0,,,,,41.0,6053.0,,,731.0,722.0,,763.0,,31.0,,0.0,,5613.0
2013-03-08,,69.0,0.0,,,,,,,,,,,,2027.0,41.0,,,,175.0,,,,,1011.0,3163.0,,,1048.0,705.0,,648.0,,1.0,,0.0,,6626.0
2013-03-09,,43.0,0.0,,,,,,,,,,,,1267.0,4.0,,,,73.0,,,,,20.0,2159.0,,,466.0,440.0,,746.0,,27.0,,0.0,,8281.0
2013-03-10,,15.0,0.0,,,,,,,,,,,,634.0,3.0,,,,101.0,,,,,25.0,4985.0,,,147.0,80.0,,981.0,,23.0,,0.0,,7656.0
2013-03-11,,28.0,0.0,,,,,,,,,,,,808.0,40.0,,,,144.0,,,,,739.0,9298.0,,,724.0,1014.0,,966.0,,35.0,,0.0,,6536.0
2013-03-12,,87.0,0.0,,,,,,,,,,,,2388.0,44.0,,,,80.0,,,,,2570.0,4342.0,,,757.0,623.0,,1279.0,,48.0,,0.0,,4552.0
2013-03-13,,79.0,0.0,,,,,,,,,,,,1843.0,27.0,,,,147.0,,,,,191.0,7440.0,,,462.0,1338.0,,748.0,,36.0,,0.0,,3450.0
2013-03-14,,64.0,0.0,,,,,,,,,,,,631.0,31.0,,,,231.0,,,,,1008.0,6529.0,,,478.0,1761.0,,647.0,,42.0,,0.0,,2658.0
2013-03-15,,23.0,0.0,,,,,,,,,,,,2061.0,21.0,,,,138.0,,,,,1022.0,5345.0,,,412.0,1525.0,,442.0,,21.0,,0.0,,2201.0
2013-03-16,,30.0,0.0,,,,,,,,,,,,1096.0,35.0,,,,124.0,,,,,60.0,7975.0,,,984.0,817.0,,326.0,,22.0,,0.0,,1586.0
2013-03-17,,68.0,0.0,,,,,,,,,,,,962.0,77.0,,,,150.0,,,,,13038.0,9190.0,,,556.0,2661.0,,311.0,,23.0,,0.0,,1967.0
2013-03-18,,21.0,0.0,,,,,,,,,,,,1437.0,47.0,,,,163.0,,,,,8107.0,6174.0,,,473.0,3262.0,,505.0,,27.0,,0.0,,1480.0
2013-03-19,,0.0,0.0,,,,,,,,,,,,2845.0,0.0,,,,185.0,,,,,324.0,7267.0,,,1262.0,1323.0,,563.0,,18.0,,0.0,,1161.0
2013-03-20,,0.0,0.0,,,,,,,,,,,,1204.0,0.0,,,,208.0,,,,,2770.0,10561.0,,,372.0,1664.0,,752.0,,15.0,,0.0,,3006.0
2013-03-21,,0.0,0.0,,,,,,,,,,,,1560.0,0.0,,,,211.0,,,,,6302.0,7751.0,,,709.0,1222.0,,532.0,,17.0,,0.0,,2550.0
2013-03-22,,0.0,0.0,,,,,,,,,,,,1457.0,0.0,,,,150.0,,,,,938.0,8048.0,,,861.0,3281.0,,374.0,,21.0,,0.0,,3994.0
2013-03-23,,72.0,0.0,,,,,,,,,,,,824.0,28.0,,,,129.0,,,,,1171.0,6028.0,,,1188.0,2278.0,,401.0,,75.0,,0.0,,2811.0
2013-03-24,,58.0,0.0,,,,,,,,,,,,1006.0,37.0,,,,146.0,,,,,3640.0,7572.0,,,1445.0,2394.0,,339.0,,65.0,,0.0,,2509.0
2013-03-25,,12.0,0.0,,,,,,,,,,,,1884.0,30.0,,,,174.0,,,,,279.0,7640.0,,,801.0,1608.0,,1011.0,,64.0,,0.0,,6735.0
2013-03-26,,51.0,0.0,,,,,,,,,,,,1489.0,45.0,,,,279.0,,,,,1222.0,7910.0,,,997.0,1232.0,,351.0,,46.0,,0.0,,2676.0
2013-03-27,,121.0,0.0,,,,,,,,,,,,942.0,25.0,,,,179.0,,,,,678.0,6970.0,,,603.0,1037.0,,485.0,,48.0,,0.0,,2560.0
2013-03-28,,102.0,0.0,,,,,,,,,,,,1254.0,25.0,,,,173.0,,,,,1673.0,6950.0,,,1001.0,580.0,,470.0,,33.0,,0.0,,3375.0
2013-03-29,,56.0,0.0,,,,,,,,,,,,1653.0,39.0,,,,151.0,,,,,5308.0,5862.0,,,1283.0,508.0,,1482.0,,13.0,,0.0,,2429.0
2013-03-30,,303.0,0.0,,,,,,,,,,,,1798.0,29.0,,,,113.0,,,,,5556.0,7233.0,,,1406.0,1388.0,,695.0,,27.0,,0.0,,1674.0
2013-03-31,,154.0,0.0,,,,,,,,,,,,1672.0,5.0,,,,85.0,,,,,187.0,7632.0,,,305.0,394.0,,502.0,,11.0,,0.0,,6041.0
2013-04-01,,146.0,0.0,,,,,,,,,,,,1886.0,3.0,,,,120.0,,,,,1104.0,6699.0,,,1365.0,990.0,,474.0,,59.0,,0.0,,5354.0
2013-04-02,,124.0,0.0,,,,,,,,,,,,2040.0,32.0,,,,455.0,,,,,9509.0,4908.0,,,1048.0,817.0,,705.0,,39.0,,0.0,,2057.0
2013-04-03,,149.0,0.0,,,,,,,,,,,,2421.0,17.0,,,,388.0,,,,,6352.0,5248.0,,,911.0,1098.0,,669.0,,22.0,,0.0,,5630.0
2013-04-04,,145.0,0.0,,,,,,,,,,,,2493.0,31.0,,,,206.0,,,,,3324.0,8670.0,,,1763.0,806.0,,855.0,,34.0,,0.0,,6038.0
2013-04-05,,150.0,0.0,,,,,,,,,,,,1639.0,9.0,,,,150.0,,,,,40.0,5878.0,,,2127.0,1692.0,,869.0,,64.0,,0.0,,11286.0
2013-04-06,,102.0,0.0,,,,,,,,,,,,1489.0,25.0,,,,124.0,,,,,6374.0,8698.0,,,1551.0,431.0,,371.0,,34.0,,0.0,,4233.0
2013-04-07,,109.0,0.0,,,,,,,,,,,,1682.0,17.0,,,,66.0,,,,,26.0,4614.0,,,1053.0,767.0,,444.0,,51.0,,0.0,,4160.0
2013-04-08,,126.0,0.0,,,,,,,,,,,,2360.0,65.0,,,,113.0,,,,,3203.0,4663.0,,,1108.0,1024.0,,931.0,,27.0,,0.0,,4913.0
2013-04-09,,30.0,0.0,,,,,,,,,,,,2045.0,58.0,,,,65.0,,,,,10119.0,3339.0,,,1396.0,1126.0,,438.0,,52.0,,0.0,,4391.0
2013-04-10,,69.0,0.0,,,,,,,,,,,,2334.0,47.0,,,,303.0,,,,,7330.0,9236.0,,,1014.0,886.0,,739.0,,68.0,,0.0,,5452.0
2013-04-11,,70.0,0.0,,,,,,,,,,,,2424.0,56.0,,,,269.0,,,,,4742.0,7009.0,,,1162.0,2355.0,,1158.0,,61.0,,0.0,,7755.0
2013-04-12,,83.0,0.0,,,,,,,,,,,,2701.0,25.0,,,,80.0,,,,,6543.0,5550.0,,,2542.0,2591.0,,1249.0,,46.0,,0.0,,5816.0
2013-04-13,,166.0,0.0,,,,,,,,,,,,2326.0,10.0,,,,136.0,,,,,10523.0,4620.0,,,1042.0,2359.0,,300.0,,21.0,,0.0,,4410.0
2013-04-14,,127.0,0.0,,,,,,,,,,,,2676.0,16.0,,,,241.0,,,,,8237.0,4476.0,,,700.0,4323.0,,850.0,,5.0,,0.0,,2905.0
2013-04-15,,156.0,0.0,,,,,,,,,,,,2713.0,54.0,,,,310.0,,,,,6993.0,4485.0,,,1735.0,710.0,,817.0,,12.0,,0.0,,3510.0
2013-04-16,,111.0,0.0,,,,,,,,,,,,2640.0,56.0,,,,446.0,,,,,820.0,4974.0,,,1888.0,853.0,,595.0,,14.0,,0.0,,1831.0
2013-04-17,,109.0,0.0,,,,,,,,,,,,3148.0,56.0,,,,462.0,,,,,7146.0,5221.0,,,1100.0,2556.0,,812.0,,32.0,,0.0,,4953.0
2013-04-18,,76.0,0.0,,,,,,,,,,,,2191.0,105.0,,,,483.0,,,,,9845.0,6474.0,,,1509.0,1521.0,,998.0,,27.0,,0.0,,5932.0
2013-04-19,,65.0,0.0,,,,,,,,,,,,2226.0,68.0,,,,214.0,,,,,9609.0,4726.0,,,1029.0,940.0,,1082.0,,13.0,,0.0,,4567.0
2013-04-20,,69.0,0.0,,,,,,,,,,,,2003.0,19.0,,,,165.0,,,,,9298.0,5163.0,,,797.0,1478.0,,1344.0,,22.0,,0.0,,3908.0
2013-04-21,,18.0,0.0,,,,,,,,,,,,1800.0,35.0,,,,73.0,,,,,319.0,8649.0,,,643.0,626.0,,1096.0,,29.0,,0.0,,4240.0
2013-04-22,,155.0,0.0,,,,,,,,,,,,2828.0,20.0,,,,223.0,,,,,3329.0,4263.0,,,1111.0,1068.0,,978.0,,15.0,,0.0,,4664.0
2013-04-23,,105.0,0.0,,,,,,,,,,,,3618.0,53.0,,,,389.0,,,,,2156.0,4649.0,,,568.0,1435.0,,1077.0,,26.0,,0.0,,3036.0
2013-04-24,,180.0,0.0,,,,,,,,,,,,4070.0,35.0,,,,357.0,,,,,9903.0,2781.0,,,780.0,1073.0,,725.0,,13.0,,0.0,,2598.0
2013-04-25,,277.0,0.0,,,,,,,,,,,,3505.0,60.0,,,,351.0,,,,,9789.0,4759.0,,,919.0,843.0,,941.0,,10.0,,0.0,,2798.0
2013-04-26,,121.0,0.0,,,,,,,,,,,,2574.0,38.0,,,,848.0,,,,,6435.0,4261.0,,,1213.0,867.0,,811.0,,11.0,,0.0,,2746.0
2013-04-27,,570.0,0.0,,,,,,,,,,,,1498.0,29.0,,,,487.0,,,,,6551.0,4606.0,,,355.0,1499.0,,784.0,,46.0,,0.0,,6909.0
2013-04-28,,153.0,0.0,,,,,,,,,,,,2937.0,11.0,,,,429.0,,,,,221.0,3654.0,,,230.0,1642.0,,863.0,,75.0,,0.0,,5835.0
2013-04-29,,117.0,0.0,,,,,,,,,,,,4260.0,15.0,,,,400.0,,,,,125.0,3907.0,,,412.0,1147.0,,988.0,,110.0,,0.0,,4045.0
2013-04-30,,267.0,0.0,,,,,,,,,,,,4281.0,9.0,,,,424.0,,,,,634.0,4608.0,,,240.0,734.0,,1011.0,,59.0,,0.0,,1462.0
2013-05-01,,295.0,0.0,,,,,,,,,,,,3806.0,28.0,,,,258.0,,,,,4148.0,3084.0,,,784.0,631.0,,904.0,,158.0,,0.0,,1792.0
2013-05-02,,130.0,0.0,,,,,,,,,,,,8519.0,27.0,,,,29.0,,,,,251.0,3588.0,,,1036.0,483.0,,734.0,,102.0,,0.0,,10571.0
2013-05-03,,134.0,0.0,,,,,,,,,,,,3285.0,45.0,,,,168.0,,,,,215.0,2658.0,,,1214.0,627.0,,924.0,,56.0,,0.0,,8692.0
2013-05-04,,104.0,0.0,,,,,,,,,,,,2838.0,12.0,,,,168.0,,,,,9787.0,4087.0,,,981.0,731.0,,421.0,,93.0,,0.0,,4611.0
2013-05-05,,128.0,0.0,,,,,,,,,,,,2952.0,23.0,,,,136.0,,,,,182.0,2490.0,,,932.0,529.0,,412.0,,63.0,,0.0,,6207.0
2013-05-06,,151.0,0.0,,,,,,,,,,,,13161.0,58.0,,,,200.0,,,,,7017.0,2750.0,,,1129.0,508.0,,469.0,,66.0,,0.0,,5596.0
2013-05-07,,165.0,0.0,,,,,,,,,,,,10263.0,48.0,,,,118.0,,,,,3083.0,1734.0,,,992.0,1959.0,,543.0,,63.0,,0.0,,1851.0
2013-05-08,,80.0,0.0,,,,,,,,,,,,3049.0,71.0,,,,190.0,,,,,1540.0,1169.0,,,541.0,815.0,,919.0,,80.0,,0.0,,5233.0
2013-05-09,,211.0,0.0,,,,,,,,,,,,2568.0,43.0,,,,165.0,,,,,1133.0,2762.0,,,1540.0,694.0,,939.0,,66.0,,0.0,,5428.0
2013-05-10,,133.0,0.0,,,,,,,,,,,,2035.0,44.0,,,,70.0,,,,,7777.0,3863.0,,,1954.0,885.0,,1136.0,,65.0,,0.0,,1321.0
2013-05-11,,110.0,0.0,,,,,,,,,,,,2481.0,24.0,,,,104.0,,,,,3319.0,4529.0,,,1191.0,315.0,,802.0,,99.0,,0.0,,6080.0
2013-05-12,,94.0,0.0,,,,,,,,,,,,3491.0,40.0,,,,167.0,,,,,1221.0,5004.0,,,2085.0,268.0,,412.0,,102.0,,0.0,,5705.0
2013-05-13,,11.0,0.0,,,,,,,,,,,,1808.0,88.0,,,,146.0,,,,,285.0,3865.0,,,2981.0,871.0,,538.0,,63.0,,0.0,,6399.0
2013-05-14,,178.0,0.0,,,,,,,,,,,,3370.0,100.0,,,,167.0,,,,,108.0,1990.0,,,2616.0,873.0,,539.0,,62.0,,0.0,,1862.0
2013-05-15,,161.0,0.0,,,,,,,,,,,,8223.0,59.0,,,,199.0,,,,,81.0,2851.0,,,2101.0,1517.0,,847.0,,63.0,,0.0,,5895.0
2013-05-16,,125.0,0.0,,,,,,,,,,,,6039.0,52.0,,,,160.0,,,,,299.0,2118.0,,,1377.0,2969.0,,878.0,,63.0,,0.0,,6335.0
2013-05-17,,94.0,0.0,,,,,,,,,,,,2677.0,25.0,,,,78.0,,,,,148.0,3121.0,,,1111.0,766.0,,664.0,,24.0,,0.0,,4946.0
2013-05-18,,144.0,0.0,,,,,,,,,,,,3123.0,39.0,,,,40.0,,,,,1019.0,2584.0,,,533.0,201.0,,485.0,,4.0,,0.0,,2076.0
2013-05-19,,189.0,0.0,,,,,,,,,,,,4187.0,7.0,,,,31.0,,,,,405.0,2507.0,,,700.0,232.0,,566.0,,0.0,,0.0,,5416.0
2013-05-20,,107.0,0.0,,,,,,,,,,,,4238.0,34.0,,,,223.0,,,,,140.0,1921.0,,,1915.0,956.0,,799.0,,1.0,,0.0,,6802.0
2013-05-21,,60.0,0.0,,,,,,,,,,,,6790.0,85.0,,,,128.0,,,,,89.0,1641.0,,,1758.0,509.0,,625.0,,2.0,,0.0,,4325.0
2013-05-22,,86.0,0.0,,,,,,,,,,,,5081.0,67.0,,,,132.0,,,,,31.0,3580.0,,,2265.0,871.0,,586.0,,2.0,,0.0,,6043.0
2013-05-23,,176.0,0.0,,,,,,,,,,,,4349.0,24.0,,,,33.0,,,,,114.0,19313.0,,,4755.0,666.0,,698.0,,3.0,,0.0,,9618.0
2013-05-24,,192.0,0.0,,,,,,,,,,,,3552.0,16.0,,,,164.0,,,,,38.0,2106.0,,,2997.0,467.0,,662.0,,7.0,,0.0,,6968.0
2013-05-25,,106.0,0.0,,,,,,,,,,,,2043.0,8.0,,,,78.0,,,,,24.0,210.0,,,2179.0,304.0,,392.0,,0.0,,0.0,,2085.0
2013-05-26,,110.0,0.0,,,,,,,,,,,,3316.0,16.0,,,,109.0,,,,,225.0,972.0,,,1859.0,555.0,,940.0,,0.0,,0.0,,2442.0
2013-05-27,,46.0,0.0,,,,,,,,,,,,4218.0,19.0,,,,100.0,,,,,130.0,565.0,,,980.0,590.0,,458.0,,2.0,,0.0,,4557.0
2013-05-28,,1.0,0.0,,,,,,,,,,,,2954.0,74.0,,,,100.0,,,,,80.0,1072.0,,,2091.0,783.0,,530.0,,18.0,,0.0,,6865.0
2013-05-29,,88.0,0.0,,,,,,,,,,,,5479.0,53.0,,,,109.0,,,,,4120.0,3546.0,,,2661.0,821.0,,765.0,,9.0,,0.0,,8296.0
2013-05-30,,166.0,0.0,,,,,,,,,,,,5079.0,43.0,,,,217.0,,,,,4020.0,3601.0,,,2545.0,1261.0,,725.0,,2.0,,0.0,,6337.0
2013-05-31,,105.0,0.0,,,,,,,,,,,,3226.0,65.0,,,,219.0,,,,,70.0,4406.0,,,2295.0,1042.0,,574.0,,6.0,,0.0,,2712.0
2013-06-01,,64.0,0.0,,,,,,,,,,,,3183.0,31.0,,,,123.0,,,,,122.0,2904.0,,,515.0,801.0,,537.0,,20.0,,0.0,,0.0
2013-06-02,,29.0,0.0,,,,,,,,,,,,4380.0,20.0,,,,11.0,,,,,55.0,2631.0,,,474.0,678.0,,380.0,,19.0,,0.0,,968.0
2013-06-03,,417.0,0.0,,,,,,,,,,,,4661.0,19.0,,,,116.0,,,,,56.0,2724.0,,,1192.0,2467.0,,753.0,,23.0,,0.0,,3489.0
2013-06-04,,243.0,0.0,,,,,,,,,,,,4794.0,51.0,,,,150.0,,,,,5976.0,1912.0,,,1497.0,818.0,,621.0,,19.0,,0.0,,5833.0
2013-06-05,,561.0,0.0,,,,,,,,,,,,4555.0,44.0,,,,80.0,,,,,22642.0,2711.0,,,1873.0,2206.0,,731.0,,26.0,,0.0,,5384.0
2013-06-06,,298.0,0.0,,,,,,,,,,,,4625.0,53.0,,,,130.0,,,,,9443.0,3734.0,,,1234.0,1696.0,,853.0,,32.0,,0.0,,5980.0
2013-06-07,,383.0,0.0,,,,,,,,,,,,3006.0,58.0,,,,87.0,,,,,8317.0,1438.0,,,2608.0,1849.0,,891.0,,253.0,,0.0,,4512.0
2013-06-08,,305.0,0.0,,,,,,,,,,,,1224.0,30.0,,,,68.0,,,,,34.0,3013.0,,,5829.0,497.0,,698.0,,248.0,,0.0,,4505.0
2013-06-09,,120.0,0.0,,,,,,,,,,,,1759.0,94.0,,,,45.0,,,,,104.0,3492.0,,,6400.0,384.0,,1006.0,,164.0,,0.0,,3765.0
2013-06-10,,0.0,0.0,,,,,,,,,,,,4026.0,34.0,,,,235.0,,,,,365.0,3185.0,,,3610.0,822.0,,761.0,,254.0,,0.0,,5026.0
2013-06-11,,0.0,0.0,,,,,,,,,,,,3301.0,37.0,,,,129.0,,,,,1733.0,1527.0,,,1476.0,1157.0,,295.0,,199.0,,0.0,,5200.0
2013-06-12,,0.0,0.0,,,,,,,,,,,,4553.0,75.0,,,,155.0,,,,,7949.0,6461.0,,,2434.0,1007.0,,471.0,,82.0,,0.0,,5161.0
2013-06-13,,338.0,0.0,,,,,,,,,,,,1886.0,47.0,,,,83.0,,,,,236.0,2933.0,,,3515.0,935.0,,477.0,,6.0,,0.0,,6880.0
2013-06-14,,437.0,0.0,,,,,,,,,,,,4776.0,34.0,,,,113.0,,,,,177.0,1508.0,,,3136.0,1297.0,,580.0,,1.0,,0.0,,10483.0
2013-06-15,,454.0,0.0,,,,,,,,,,,,2378.0,21.0,,,,82.0,,,,,189.0,2203.0,,,2937.0,1076.0,,239.0,,1.0,,0.0,,8511.0
2013-06-16,,304.0,0.0,,,,,,,,,,,,2019.0,14.0,,,,74.0,,,,,2582.0,3191.0,,,1851.0,734.0,,215.0,,0.0,,0.0,,6719.0
2013-06-17,,212.0,0.0,,,,,,,,,,,,2151.0,17.0,,,,397.0,,,,,8582.0,1810.0,,,1105.0,892.0,,703.0,,16.0,,0.0,,4203.0
2013-06-18,,202.0,0.0,,,,,,,,,,,,4185.0,57.0,,,,338.0,,,,,4418.0,3085.0,,,1573.0,1060.0,,1178.0,,24.0,,0.0,,4212.0
2013-06-19,,279.0,0.0,,,,,,,,,,,,4168.0,61.0,,,,284.0,,,,,2060.0,3508.0,,,1458.0,1236.0,,1337.0,,61.0,,0.0,,5634.0
2013-06-20,,827.0,0.0,,,,,,,,,,,,3442.0,33.0,,,,126.0,,,,,2071.0,4549.0,,,1725.0,1593.0,,982.0,,17.0,,0.0,,4923.0
2013-06-21,,261.0,0.0,,,,,,,,,,,,4351.0,45.0,,,,73.0,,,,,4675.0,3305.0,,,1459.0,594.0,,689.0,,24.0,,0.0,,3298.0
2013-06-22,,104.0,0.0,,,,,,,,,,,,2903.0,1.0,,,,86.0,,,,,418.0,1556.0,,,1329.0,795.0,,429.0,,26.0,,0.0,,4930.0
2013-06-23,,95.0,0.0,,,,,,,,,,,,2533.0,7.0,,,,59.0,,,,,186.0,1501.0,,,2601.0,598.0,,587.0,,7.0,,0.0,,4534.0
2013-06-24,,92.0,0.0,,,,,,,,,,,,4059.0,55.0,,,,163.0,,,,,308.0,2817.0,,,1795.0,734.0,,1384.0,,27.0,,0.0,,4128.0
2013-06-25,,272.0,170.0,,,,,,,,,,,,4975.0,50.0,,,,167.0,,,,,105.0,1636.0,,,2316.0,1003.0,,924.0,,21.0,,0.0,,734.0
2013-06-26,,456.0,0.0,,,,,,,,,,,,6792.0,21.0,,,,135.0,,,,,1864.0,1074.0,,,1095.0,1301.0,,1317.0,,0.0,,0.0,,3968.0
2013-06-27,,246.0,0.0,,,,,,,,,,,,2608.0,35.0,,,,151.0,,,,,164.0,1630.0,,,1324.0,1754.0,,844.0,,8.0,,0.0,,6776.0
2013-06-28,,416.0,4.0,,,,,,,,,,,,6236.0,37.0,,,,294.0,,,,,429.0,1136.0,,,1651.0,1686.0,,367.0,,16.0,,0.0,,4491.0
2013-06-29,,122.0,0.0,,,,,,,,,,,,3447.0,8.0,,,,0.0,,,,,214.0,2042.0,,,1539.0,312.0,,133.0,,47.0,,0.0,,6553.0
2013-06-30,,95.0,0.0,,,,,,,,,,,,2857.0,15.0,,,,0.0,,,,,150.0,1953.0,,,2727.0,489.0,,414.0,,65.0,,0.0,,7646.0
2013-07-01,,150.0,2.0,,,,,,,,,,,,5926.0,43.0,,,,396.0,,,,,228.0,2271.0,,,1663.0,998.0,,460.0,,24.0,,0.0,,6647.0
