,[CCT LSU SUPERMIC] Number of Jobs Submitted,[GATECH KEENELAND] Number of Jobs Submitted,[GATECH KIDS] Number of Jobs Submitted,[IU BIGRED*] Number of Jobs Submitted,[LONI QUEENBEE] Number of Jobs Submitted,[NCAR FROST] Number of Jobs Submitted,[NCSA ABE] Number of Jobs Submitted,[NCSA COBALT] Number of Jobs Submitted,[NCSA DTF] Number of Jobs Submitted,[NCSA EMBER*] Number of Jobs Submitted,[NCSA FORGE] Number of Jobs Submitted,[NCSA LINCOLN] Number of Jobs Submitted,[NICS ATHENA] Number of Jobs Submitted,[NICS DARTER] Number of Jobs Submitted,[NICS KRAKEN] Number of Jobs Submitted,[NICS NAUTILUS] Number of Jobs Submitted,[ORNL NSTG] Number of Jobs Submitted,[OSG] Number of Jobs Submitted,[PSC BIGBEN] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[PSC BRIDGES LARGE] Number of Jobs Submitted,[PSC BRIDGES] Number of Jobs Submitted,[PSC GREENFIELD] Number of Jobs Submitted,[PSC POPLE] Number of Jobs Submitted,[PURDUE CONDOR] Number of Jobs Submitted,[PURDUE STEELE] Number of Jobs Submitted,[SDSC COMET] Number of Jobs Submitted,[SDSC DASH] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[SDSC TRESTLES] Number of Jobs Submitted,[Stanford XSTREAM] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted,[TACC LONESTAR] Number of Jobs Submitted,[TACC LONGHORN] Number of Jobs Submitted,[TACC MAVERICK2] Number of Jobs Submitted,[TACC RANGER] Number of Jobs Submitted,[TACC SPUR] Number of Jobs Submitted,[TACC STAMPEDE] Number of Jobs Submitted
2012-11-25,,17.0,,,,,,,,,0.0,,,,1411.0,25.0,,,,84.0,,,,,491.0,9740.0,,,3569.0,1367.0,,1439.0,,101.0,,696.0,0.0,0.0
2012-11-26,,53.0,,,,,,,,,0.0,,,,1911.0,21.0,,,,105.0,,,,,3323.0,9064.0,,,3369.0,1592.0,,544.0,,115.0,,641.0,0.0,0.0
2012-11-27,,74.0,,,,,,,,,0.0,,,,1901.0,58.0,,,,80.0,,,,,5480.0,4029.0,,,1525.0,2344.0,,471.0,,37.0,,249.0,0.0,0.0
2012-11-28,,132.0,,,,,,,,,0.0,,,,582.0,63.0,,,,72.0,,,,,10000.0,13799.0,,,563.0,2145.0,,699.0,,33.0,,1135.0,11.0,0.0
2012-11-29,,6.0,,,,,,,,,0.0,,,,342.0,48.0,,,,87.0,,,,,8796.0,10644.0,,,1501.0,3373.0,,554.0,,111.0,,1136.0,11.0,0.0
2012-11-30,,33.0,,,,,,,,,0.0,,,,914.0,30.0,,,,207.0,,,,,15696.0,19487.0,,,895.0,608.0,,698.0,,101.0,,1029.0,6.0,0.0
2012-12-01,,37.0,,,,,,,,,0.0,,,,1288.0,26.0,,,,175.0,,,,,0.0,15428.0,,,406.0,1089.0,,341.0,,89.0,,852.0,0.0,0.0
2012-12-02,,72.0,,,,,,,,,0.0,,,,1310.0,69.0,,,,186.0,,,,,0.0,9939.0,,,1617.0,889.0,,703.0,,41.0,,899.0,0.0,0.0
2012-12-03,,59.0,,,,,,,,,0.0,,,,1009.0,29.0,,,,304.0,,,,,0.0,10053.0,,,1217.0,1467.0,,2013.0,,86.0,,1156.0,0.0,0.0
2012-12-04,,31.0,,,,,,,,,0.0,,,,598.0,32.0,,,,281.0,,,,,0.0,9436.0,,,498.0,2001.0,,1220.0,,79.0,,815.0,3.0,0.0
2012-12-05,,18.0,,,,,,,,,0.0,,,,1786.0,62.0,,,,255.0,,,,,0.0,4740.0,,,317.0,2592.0,,1345.0,,55.0,,1107.0,2.0,0.0
2012-12-06,,28.0,,,,,,,,,0.0,,,,1019.0,18.0,,,,226.0,,,,,0.0,16198.0,,,324.0,1176.0,,1349.0,,63.0,,1251.0,0.0,0.0
2012-12-07,,54.0,,,,,,,,,0.0,,,,1219.0,15.0,,,,176.0,,,,,73.0,13074.0,,,292.0,4189.0,,1147.0,,48.0,,1058.0,5.0,0.0
2012-12-08,,48.0,,,,,,,,,0.0,,,,567.0,14.0,,,,120.0,,,,,4800.0,4015.0,,,153.0,3035.0,,410.0,,58.0,,574.0,4.0,0.0
2012-12-09,,71.0,,,,,,,,,0.0,,,,1035.0,12.0,,,,98.0,,,,,0.0,6087.0,,,256.0,1728.0,,729.0,,41.0,,448.0,2.0,0.0
2012-12-10,,56.0,,,,,,,,,0.0,,,,915.0,14.0,,,,113.0,,,,,0.0,7592.0,,,452.0,4165.0,,1794.0,,63.0,,528.0,0.0,0.0
2012-12-11,,28.0,,,,,,,,,0.0,,,,1085.0,24.0,,,,207.0,,,,,0.0,4809.0,,,1209.0,7656.0,,1404.0,,49.0,,967.0,0.0,0.0
2012-12-12,,86.0,,,,,,,,,0.0,,,,1083.0,23.0,,,,235.0,,,,,6746.0,5569.0,,,2268.0,6778.0,,852.0,,44.0,,923.0,2.0,0.0
2012-12-13,,121.0,,,,,,,,,0.0,,,,1297.0,14.0,,,,299.0,,,,,1295.0,3373.0,,,2741.0,2748.0,,1571.0,,40.0,,1126.0,2.0,0.0
2012-12-14,,147.0,,,,,,,,,0.0,,,,1166.0,25.0,,,,188.0,,,,,5723.0,3359.0,,,2189.0,3457.0,,1842.0,,52.0,,1238.0,0.0,0.0
2012-12-15,,49.0,,,,,,,,,0.0,,,,445.0,15.0,,,,90.0,,,,,1200.0,3067.0,,,1379.0,399.0,,1873.0,,31.0,,892.0,0.0,0.0
2012-12-16,,65.0,,,,,,,,,0.0,,,,755.0,18.0,,,,105.0,,,,,0.0,6927.0,,,999.0,3813.0,,982.0,,7.0,,824.0,0.0,0.0
2012-12-17,,209.0,,,,,,,,,0.0,,,,1979.0,32.0,,,,236.0,,,,,40.0,5053.0,,,347.0,1605.0,,837.0,,53.0,,1200.0,0.0,0.0
2012-12-18,,90.0,,,,,,,,,0.0,,,,1961.0,47.0,,,,221.0,,,,,60.0,4535.0,,,184.0,1221.0,,413.0,,47.0,,1074.0,2.0,0.0
2012-12-19,,38.0,,,,,,,,,0.0,,,,2116.0,29.0,,,,84.0,,,,,366.0,7077.0,,,116.0,824.0,,528.0,,22.0,,905.0,11.0,0.0
2012-12-20,,23.0,,,,,,,,,0.0,,,,700.0,9.0,,,,111.0,,,,,0.0,6832.0,,,209.0,710.0,,270.0,,51.0,,825.0,0.0,0.0
2012-12-21,,44.0,,,,,,,,,0.0,,,,1043.0,0.0,,,,159.0,,,,,8.0,14664.0,,,142.0,545.0,,467.0,,32.0,,793.0,1.0,0.0
2012-12-22,,40.0,,,,,,,,,0.0,,,,2013.0,4.0,,,,41.0,,,,,24.0,4921.0,,,93.0,487.0,,367.0,,8.0,,760.0,4.0,0.0
2012-12-23,,48.0,,,,,,,,,0.0,,,,1594.0,18.0,,,,103.0,,,,,24.0,3655.0,,,229.0,1410.0,,547.0,,6.0,,787.0,2.0,0.0
2012-12-24,,28.0,,,,,,,,,0.0,,,,901.0,15.0,,,,62.0,,,,,1023.0,4299.0,,,141.0,986.0,,256.0,,13.0,,625.0,2.0,0.0
2012-12-25,,47.0,,,,,,,,,0.0,,,,1340.0,15.0,,,,64.0,,,,,24.0,3812.0,,,94.0,224.0,,355.0,,10.0,,796.0,0.0,0.0
2012-12-26,,54.0,,,,,,,,,0.0,,,,2055.0,13.0,,,,60.0,,,,,55.0,7272.0,,,288.0,757.0,,453.0,,23.0,,1091.0,1.0,0.0
2012-12-27,,81.0,,,,,,,,,0.0,,,,930.0,9.0,,,,109.0,,,,,24.0,4862.0,,,314.0,997.0,,261.0,,23.0,,963.0,1.0,0.0
2012-12-28,,90.0,,,,,,,,,0.0,,,,1298.0,43.0,,,,61.0,,,,,24.0,2668.0,,,275.0,351.0,,183.0,,16.0,,1043.0,2.0,0.0
2012-12-29,,1.0,,,,,,,,,0.0,,,,578.0,22.0,,,,13.0,,,,,12.0,671.0,,,66.0,200.0,,140.0,,10.0,,847.0,12.0,0.0
2012-12-30,,16.0,,,,,,,,,0.0,,,,971.0,9.0,,,,55.0,,,,,0.0,0.0,,,131.0,229.0,,252.0,,62.0,,826.0,25.0,0.0
2012-12-31,,50.0,,,,,,,,,0.0,,,,567.0,3.0,,,,20.0,,,,,0.0,0.0,,,69.0,508.0,,124.0,,27.0,,756.0,2.0,0.0
2013-01-01,,74.0,,,,,,,,,0.0,,,,931.0,9.0,,,,13.0,,,,,0.0,0.0,,,108.0,752.0,,205.0,,18.0,,674.0,0.0,0.0
2013-01-02,,124.0,,,,,,,,,0.0,,,,1363.0,38.0,,,,95.0,,,,,0.0,0.0,,,271.0,1303.0,,310.0,,37.0,,1055.0,0.0,0.0
2013-01-03,,187.0,,,,,,,,,0.0,,,,1562.0,60.0,,,,94.0,,,,,0.0,0.0,,,293.0,1065.0,,406.0,,79.0,,1485.0,0.0,0.0
2013-01-04,,176.0,,,,,,,,,0.0,,,,1367.0,40.0,,,,50.0,,,,,1.0,536.0,,,352.0,627.0,,519.0,,63.0,,1165.0,0.0,0.0
2013-01-05,,91.0,,,,,,,,,0.0,,,,1448.0,28.0,,,,60.0,,,,,0.0,4440.0,,,155.0,423.0,,344.0,,34.0,,1383.0,0.0,0.0
2013-01-06,,101.0,,,,,,,,,0.0,,,,1269.0,6.0,,,,168.0,,,,,20.0,2642.0,,,371.0,1369.0,,355.0,,41.0,,707.0,0.0,0.0
2013-01-07,,304.0,,,,,,,,,0.0,,,,2145.0,27.0,,,,172.0,,,,,0.0,4084.0,,,425.0,3012.0,,434.0,,30.0,,1314.0,0.0,5.0
2013-01-08,,85.0,,,,,,,,,0.0,,,,2149.0,23.0,,,,226.0,,,,,15.0,2204.0,,,416.0,2177.0,,358.0,,32.0,,1344.0,0.0,751.0
2013-01-09,,83.0,,,,,,,,,0.0,,,,2182.0,83.0,,,,47.0,,,,,166.0,3835.0,,,528.0,3055.0,,412.0,,22.0,,1448.0,0.0,755.0
2013-01-10,,91.0,,,,,,,,,0.0,,,,835.0,97.0,,,,128.0,,,,,272.0,5926.0,,,447.0,1288.0,,379.0,,74.0,,1791.0,0.0,866.0
2013-01-11,,141.0,,,,,,,,,0.0,,,,2105.0,103.0,,,,49.0,,,,,503.0,3688.0,,,466.0,2118.0,,314.0,,53.0,,2152.0,0.0,1670.0
2013-01-12,,55.0,,,,,,,,,0.0,,,,975.0,31.0,,,,48.0,,,,,24.0,3707.0,,,293.0,569.0,,150.0,,17.0,,1258.0,0.0,463.0
2013-01-13,,98.0,,,,,,,,,0.0,,,,2566.0,26.0,,,,70.0,,,,,24.0,4535.0,,,436.0,833.0,,270.0,,61.0,,665.0,0.0,1408.0
2013-01-14,,12.0,,,,,,,,,0.0,,,,3053.0,49.0,,,,43.0,,,,,144.0,3986.0,,,568.0,858.0,,318.0,,123.0,,1310.0,0.0,3508.0
2013-01-15,,253.0,,,,,,,,,0.0,,,,2566.0,59.0,,,,63.0,,,,,278.0,4174.0,,,622.0,1189.0,,407.0,,59.0,,742.0,0.0,1774.0
2013-01-16,,196.0,,,,,,,,,0.0,,,,2496.0,107.0,,,,75.0,,,,,454.0,3243.0,,,937.0,1440.0,,278.0,,123.0,,2681.0,0.0,4110.0
2013-01-17,,125.0,,,,,,,,,0.0,,,,2681.0,49.0,,,,53.0,,,,,126.0,6550.0,,,459.0,863.0,,401.0,,62.0,,3274.0,0.0,3476.0
2013-01-18,,171.0,,,,,,,,,0.0,,,,3992.0,34.0,,,,81.0,,,,,346.0,5095.0,,,140.0,959.0,,278.0,,35.0,,1709.0,0.0,3249.0
2013-01-19,,57.0,,,,,,,,,0.0,,,,2369.0,15.0,,,,62.0,,,,,213.0,4884.0,,,565.0,605.0,,125.0,,1.0,,1869.0,0.0,2120.0
2013-01-20,,76.0,,,,,,,,,0.0,,,,1914.0,21.0,,,,145.0,,,,,28.0,5290.0,,,292.0,623.0,,320.0,,25.0,,1588.0,0.0,2422.0
2013-01-21,,78.0,,,,,,,,,0.0,,,,2201.0,44.0,,,,94.0,,,,,39.0,4026.0,,,536.0,1138.0,,265.0,,58.0,,2078.0,0.0,1803.0
2013-01-22,,65.0,,,,,,,,,0.0,,,,2702.0,55.0,,,,99.0,,,,,0.0,4518.0,,,546.0,830.0,,116.0,,27.0,,1276.0,0.0,0.0
2013-01-23,,142.0,,,,,,,,,0.0,,,,1883.0,39.0,,,,53.0,,,,,568.0,3666.0,,,531.0,1507.0,,600.0,,28.0,,1079.0,0.0,1192.0
2013-01-24,,127.0,,,,,,,,,0.0,,,,1739.0,35.0,,,,120.0,,,,,381.0,831.0,,,583.0,1640.0,,616.0,,25.0,,1280.0,0.0,4715.0
2013-01-25,,58.0,,,,,,,,,0.0,,,,2680.0,29.0,,,,71.0,,,,,1197.0,1791.0,,,791.0,1047.0,,382.0,,20.0,,1175.0,0.0,5017.0
2013-01-26,,55.0,,,,,,,,,0.0,,,,2413.0,9.0,,,,48.0,,,,,0.0,343.0,,,374.0,735.0,,180.0,,6.0,,1836.0,0.0,2813.0
2013-01-27,,56.0,,,,,,,,,0.0,,,,2266.0,24.0,,,,81.0,,,,,0.0,362.0,,,347.0,646.0,,235.0,,38.0,,1722.0,0.0,2015.0
2013-01-28,,70.0,,,,,,,,,0.0,,,,2990.0,57.0,,,,91.0,,,,,74.0,724.0,,,242.0,1210.0,,417.0,,25.0,,1739.0,0.0,2174.0
2013-01-29,,42.0,,,,,,,,,0.0,,,,3657.0,80.0,,,,67.0,,,,,1220.0,2590.0,,,995.0,1039.0,,593.0,,27.0,,1117.0,0.0,1765.0
2013-01-30,,29.0,,,,,,,,,0.0,,,,2182.0,105.0,,,,99.0,,,,,2739.0,4697.0,,,653.0,1479.0,,572.0,,37.0,,1253.0,0.0,6756.0
2013-01-31,,29.0,,,,,,,,,0.0,,,,2142.0,73.0,,,,78.0,,,,,1136.0,5327.0,,,541.0,594.0,,405.0,,44.0,,1050.0,0.0,5612.0
2013-02-01,,37.0,0.0,,,,,,,,,,,,2800.0,29.0,,,,89.0,,,,,5056.0,4011.0,,,373.0,700.0,,523.0,,10.0,,867.0,,6123.0
2013-02-02,,36.0,0.0,,,,,,,,,,,,1752.0,54.0,,,,53.0,,,,,20.0,4057.0,,,294.0,2502.0,,254.0,,4.0,,752.0,,7359.0
2013-02-03,,26.0,0.0,,,,,,,,,,,,1825.0,6.0,,,,36.0,,,,,20.0,1668.0,,,277.0,415.0,,502.0,,8.0,,548.0,,8754.0
2013-02-04,,78.0,0.0,,,,,,,,,,,,2253.0,12.0,,,,151.0,,,,,10394.0,6256.0,,,953.0,1941.0,,518.0,,26.0,,393.0,,10318.0
2013-02-05,,41.0,0.0,,,,,,,,,,,,2212.0,10.0,,,,137.0,,,,,14163.0,3139.0,,,888.0,1009.0,,503.0,,22.0,,32.0,,8817.0
2013-02-06,,66.0,0.0,,,,,,,,,,,,2841.0,46.0,,,,147.0,,,,,10598.0,3355.0,,,1083.0,1028.0,,366.0,,32.0,,29.0,,9005.0
2013-02-07,,78.0,0.0,,,,,,,,,,,,2416.0,66.0,,,,72.0,,,,,7544.0,6553.0,,,364.0,1138.0,,528.0,,63.0,,125.0,,9844.0
2013-02-08,,69.0,0.0,,,,,,,,,,,,1702.0,29.0,,,,100.0,,,,,736.0,6050.0,,,642.0,681.0,,537.0,,29.0,,6.0,,9665.0
2013-02-09,,5.0,0.0,,,,,,,,,,,,2362.0,15.0,,,,78.0,,,,,20.0,6514.0,,,289.0,1412.0,,288.0,,21.0,,0.0,,6146.0
2013-02-10,,0.0,0.0,,,,,,,,,,,,1975.0,19.0,,,,145.0,,,,,24.0,10600.0,,,172.0,105.0,,306.0,,29.0,,0.0,,5275.0
2013-02-11,,59.0,0.0,,,,,,,,,,,,2826.0,50.0,,,,152.0,,,,,583.0,6950.0,,,403.0,961.0,,598.0,,25.0,,0.0,,4190.0
2013-02-12,,54.0,0.0,,,,,,,,,,,,1188.0,26.0,,,,174.0,,,,,21.0,10183.0,,,263.0,1761.0,,547.0,,21.0,,0.0,,573.0
2013-02-13,,40.0,0.0,,,,,,,,,,,,1925.0,42.0,,,,147.0,,,,,1050.0,11365.0,,,921.0,1041.0,,377.0,,69.0,,0.0,,2786.0
2013-02-14,,75.0,0.0,,,,,,,,,,,,447.0,75.0,,,,80.0,,,,,38433.0,6246.0,,,1286.0,1473.0,,485.0,,29.0,,0.0,,4921.0
2013-02-15,,56.0,0.0,,,,,,,,,,,,972.0,55.0,,,,130.0,,,,,47.0,5803.0,,,287.0,1038.0,,442.0,,25.0,,0.0,,10119.0
2013-02-16,,15.0,0.0,,,,,,,,,,,,950.0,10.0,,,,0.0,,,,,40.0,19527.0,,,195.0,236.0,,317.0,,14.0,,0.0,,9004.0
2013-02-17,,32.0,0.0,,,,,,,,,,,,1218.0,27.0,,,,73.0,,,,,18.0,20661.0,,,472.0,789.0,,280.0,,43.0,,0.0,,14521.0
2013-02-18,,20.0,0.0,,,,,,,,,,,,1143.0,47.0,,,,156.0,,,,,429.0,11987.0,,,530.0,1110.0,,298.0,,11.0,,0.0,,12807.0
2013-02-19,,36.0,0.0,,,,,,,,,,,,1204.0,88.0,,,,217.0,,,,,303.0,2363.0,,,574.0,625.0,,600.0,,46.0,,0.0,,13684.0
2013-02-20,,9.0,0.0,,,,,,,,,,,,1592.0,28.0,,,,255.0,,,,,453.0,5523.0,,,912.0,1063.0,,624.0,,39.0,,0.0,,6125.0
2013-02-21,,30.0,0.0,,,,,,,,,,,,70.0,69.0,,,,303.0,,,,,5851.0,7165.0,,,426.0,1237.0,,377.0,,31.0,,0.0,,11828.0
2013-02-22,,41.0,0.0,,,,,,,,,,,,952.0,37.0,,,,222.0,,,,,18619.0,7057.0,,,548.0,922.0,,306.0,,24.0,,0.0,,4590.0
2013-02-23,,17.0,0.0,,,,,,,,,,,,1062.0,48.0,,,,90.0,,,,,3556.0,4074.0,,,222.0,920.0,,226.0,,8.0,,0.0,,3596.0
2013-02-24,,29.0,0.0,,,,,,,,,,,,710.0,9.0,,,,221.0,,,,,20.0,9176.0,,,214.0,258.0,,391.0,,11.0,,0.0,,7940.0
2013-02-25,,22.0,0.0,,,,,,,,,,,,1567.0,10.0,,,,249.0,,,,,6125.0,5533.0,,,406.0,376.0,,540.0,,10.0,,0.0,,6077.0
2013-02-26,,30.0,0.0,,,,,,,,,,,,1812.0,108.0,,,,228.0,,,,,14010.0,10291.0,,,1179.0,929.0,,94.0,,22.0,,0.0,,803.0
2013-02-27,,30.0,0.0,,,,,,,,,,,,1704.0,27.0,,,,469.0,,,,,182.0,8694.0,,,353.0,1004.0,,300.0,,18.0,,0.0,,2764.0
2013-02-28,,44.0,0.0,,,,,,,,,,,,2696.0,51.0,,,,732.0,,,,,24.0,14413.0,,,521.0,1312.0,,304.0,,20.0,,0.0,,3587.0
2013-03-01,,45.0,0.0,,,,,,,,,,,,2004.0,34.0,,,,300.0,,,,,24.0,9826.0,,,692.0,1028.0,,276.0,,5.0,,0.0,,1739.0
2013-03-02,,27.0,0.0,,,,,,,,,,,,1015.0,28.0,,,,202.0,,,,,24.0,2657.0,,,408.0,835.0,,281.0,,20.0,,0.0,,1339.0
2013-03-03,,43.0,0.0,,,,,,,,,,,,1062.0,14.0,,,,0.0,,,,,24.0,10599.0,,,630.0,408.0,,229.0,,20.0,,0.0,,1939.0
2013-03-04,,30.0,0.0,,,,,,,,,,,,2739.0,57.0,,,,150.0,,,,,24.0,8458.0,,,861.0,777.0,,548.0,,16.0,,0.0,,3607.0
2013-03-05,,58.0,0.0,,,,,,,,,,,,3689.0,38.0,,,,358.0,,,,,24.0,5059.0,,,560.0,614.0,,627.0,,10.0,,0.0,,2607.0
2013-03-06,,54.0,0.0,,,,,,,,,,,,2829.0,26.0,,,,428.0,,,,,29.0,8549.0,,,1158.0,488.0,,664.0,,12.0,,0.0,,3014.0
2013-03-07,,34.0,0.0,,,,,,,,,,,,3827.0,46.0,,,,511.0,,,,,40.0,5718.0,,,675.0,722.0,,751.0,,30.0,,0.0,,5559.0
2013-03-08,,36.0,0.0,,,,,,,,,,,,1591.0,41.0,,,,149.0,,,,,1011.0,2774.0,,,429.0,704.0,,632.0,,1.0,,0.0,,6581.0
2013-03-09,,40.0,0.0,,,,,,,,,,,,756.0,4.0,,,,49.0,,,,,20.0,1886.0,,,350.0,440.0,,733.0,,27.0,,0.0,,8236.0
2013-03-10,,15.0,0.0,,,,,,,,,,,,399.0,3.0,,,,44.0,,,,,24.0,4695.0,,,146.0,80.0,,970.0,,23.0,,0.0,,7633.0
2013-03-11,,28.0,0.0,,,,,,,,,,,,558.0,40.0,,,,142.0,,,,,739.0,9130.0,,,429.0,1014.0,,963.0,,35.0,,0.0,,6505.0
2013-03-12,,78.0,0.0,,,,,,,,,,,,2103.0,44.0,,,,67.0,,,,,2448.0,3563.0,,,409.0,623.0,,1264.0,,48.0,,0.0,,4468.0
2013-03-13,,67.0,0.0,,,,,,,,,,,,1484.0,27.0,,,,68.0,,,,,71.0,7262.0,,,430.0,1338.0,,736.0,,36.0,,0.0,,3424.0
2013-03-14,,58.0,0.0,,,,,,,,,,,,461.0,31.0,,,,163.0,,,,,966.0,6447.0,,,358.0,1760.0,,637.0,,42.0,,0.0,,2638.0
2013-03-15,,21.0,0.0,,,,,,,,,,,,1539.0,19.0,,,,43.0,,,,,1022.0,5276.0,,,323.0,1522.0,,431.0,,21.0,,0.0,,2186.0
2013-03-16,,29.0,0.0,,,,,,,,,,,,765.0,35.0,,,,102.0,,,,,20.0,7876.0,,,334.0,801.0,,210.0,,22.0,,0.0,,1569.0
2013-03-17,,67.0,0.0,,,,,,,,,,,,680.0,77.0,,,,114.0,,,,,13002.0,9122.0,,,183.0,377.0,,245.0,,23.0,,0.0,,1947.0
2013-03-18,,21.0,0.0,,,,,,,,,,,,1101.0,47.0,,,,139.0,,,,,7111.0,6115.0,,,342.0,982.0,,458.0,,27.0,,0.0,,1469.0
2013-03-19,,0.0,0.0,,,,,,,,,,,,2431.0,0.0,,,,149.0,,,,,324.0,6928.0,,,1232.0,1317.0,,555.0,,18.0,,0.0,,809.0
2013-03-20,,0.0,0.0,,,,,,,,,,,,889.0,0.0,,,,197.0,,,,,2760.0,10272.0,,,138.0,1514.0,,740.0,,15.0,,0.0,,2971.0
2013-03-21,,0.0,0.0,,,,,,,,,,,,1317.0,0.0,,,,177.0,,,,,6282.0,6884.0,,,299.0,1045.0,,528.0,,17.0,,0.0,,2535.0
2013-03-22,,0.0,0.0,,,,,,,,,,,,1213.0,0.0,,,,126.0,,,,,925.0,6613.0,,,326.0,3070.0,,367.0,,21.0,,0.0,,3960.0
2013-03-23,,56.0,0.0,,,,,,,,,,,,579.0,20.0,,,,117.0,,,,,1168.0,4916.0,,,238.0,1926.0,,391.0,,72.0,,0.0,,2773.0
2013-03-24,,58.0,0.0,,,,,,,,,,,,740.0,37.0,,,,142.0,,,,,3400.0,6769.0,,,362.0,2341.0,,334.0,,65.0,,0.0,,2487.0
2013-03-25,,12.0,0.0,,,,,,,,,,,,1678.0,30.0,,,,162.0,,,,,278.0,7385.0,,,445.0,1545.0,,1007.0,,61.0,,0.0,,6704.0
2013-03-26,,34.0,0.0,,,,,,,,,,,,1185.0,45.0,,,,220.0,,,,,1165.0,7190.0,,,391.0,1150.0,,345.0,,43.0,,0.0,,2653.0
2013-03-27,,113.0,0.0,,,,,,,,,,,,589.0,25.0,,,,118.0,,,,,675.0,6132.0,,,335.0,878.0,,413.0,,48.0,,0.0,,2388.0
2013-03-28,,90.0,0.0,,,,,,,,,,,,848.0,25.0,,,,133.0,,,,,1668.0,5773.0,,,551.0,532.0,,436.0,,33.0,,0.0,,3357.0
2013-03-29,,49.0,0.0,,,,,,,,,,,,1296.0,7.0,,,,124.0,,,,,5308.0,4925.0,,,561.0,338.0,,1436.0,,13.0,,0.0,,2367.0
2013-03-30,,292.0,0.0,,,,,,,,,,,,1515.0,4.0,,,,67.0,,,,,5556.0,6146.0,,,731.0,391.0,,656.0,,27.0,,0.0,,1650.0
2013-03-31,,91.0,0.0,,,,,,,,,,,,1495.0,5.0,,,,62.0,,,,,187.0,6486.0,,,281.0,389.0,,496.0,,11.0,,0.0,,6034.0
2013-04-01,,130.0,0.0,,,,,,,,,,,,1639.0,3.0,,,,102.0,,,,,1100.0,6004.0,,,1351.0,986.0,,466.0,,59.0,,0.0,,5349.0
2013-04-02,,80.0,0.0,,,,,,,,,,,,1813.0,19.0,,,,433.0,,,,,9500.0,4898.0,,,967.0,813.0,,693.0,,39.0,,0.0,,1585.0
2013-04-03,,81.0,0.0,,,,,,,,,,,,2246.0,17.0,,,,284.0,,,,,6340.0,3035.0,,,875.0,1079.0,,638.0,,22.0,,0.0,,5572.0
2013-04-04,,115.0,0.0,,,,,,,,,,,,2220.0,31.0,,,,97.0,,,,,3322.0,7528.0,,,1004.0,793.0,,848.0,,34.0,,0.0,,5990.0
2013-04-05,,135.0,0.0,,,,,,,,,,,,1314.0,9.0,,,,107.0,,,,,20.0,5336.0,,,1358.0,1688.0,,862.0,,64.0,,0.0,,11246.0
2013-04-06,,95.0,0.0,,,,,,,,,,,,989.0,22.0,,,,72.0,,,,,6364.0,4837.0,,,1030.0,425.0,,349.0,,34.0,,0.0,,4187.0
2013-04-07,,99.0,0.0,,,,,,,,,,,,1525.0,16.0,,,,60.0,,,,,20.0,3615.0,,,917.0,763.0,,443.0,,51.0,,0.0,,4089.0
2013-04-08,,125.0,0.0,,,,,,,,,,,,1995.0,60.0,,,,86.0,,,,,3192.0,3581.0,,,970.0,1022.0,,928.0,,27.0,,0.0,,4867.0
2013-04-09,,24.0,0.0,,,,,,,,,,,,1758.0,54.0,,,,17.0,,,,,10108.0,2831.0,,,1099.0,1084.0,,342.0,,52.0,,0.0,,4362.0
2013-04-10,,47.0,0.0,,,,,,,,,,,,1824.0,40.0,,,,175.0,,,,,7310.0,8663.0,,,802.0,881.0,,732.0,,68.0,,0.0,,5420.0
2013-04-11,,59.0,0.0,,,,,,,,,,,,2102.0,44.0,,,,147.0,,,,,4742.0,5772.0,,,1066.0,2351.0,,1063.0,,61.0,,0.0,,7703.0
2013-04-12,,59.0,0.0,,,,,,,,,,,,2328.0,25.0,,,,59.0,,,,,6563.0,4831.0,,,1840.0,1156.0,,1217.0,,46.0,,0.0,,5766.0
2013-04-13,,166.0,0.0,,,,,,,,,,,,2032.0,10.0,,,,93.0,,,,,10499.0,3145.0,,,834.0,190.0,,290.0,,21.0,,0.0,,4362.0
2013-04-14,,102.0,0.0,,,,,,,,,,,,2405.0,16.0,,,,158.0,,,,,8236.0,4097.0,,,698.0,1568.0,,698.0,,5.0,,0.0,,2867.0
2013-04-15,,136.0,0.0,,,,,,,,,,,,2475.0,54.0,,,,243.0,,,,,6896.0,3312.0,,,1586.0,708.0,,786.0,,12.0,,0.0,,3485.0
2013-04-16,,37.0,0.0,,,,,,,,,,,,2494.0,56.0,,,,297.0,,,,,160.0,4443.0,,,1392.0,851.0,,450.0,,14.0,,0.0,,1344.0
2013-04-17,,86.0,0.0,,,,,,,,,,,,2665.0,56.0,,,,448.0,,,,,6166.0,3601.0,,,652.0,2543.0,,590.0,,32.0,,0.0,,4916.0
2013-04-18,,17.0,0.0,,,,,,,,,,,,1986.0,105.0,,,,412.0,,,,,9816.0,4875.0,,,857.0,1515.0,,891.0,,27.0,,0.0,,5592.0
2013-04-19,,44.0,0.0,,,,,,,,,,,,1830.0,68.0,,,,169.0,,,,,9524.0,3924.0,,,1009.0,936.0,,1006.0,,13.0,,0.0,,4514.0
2013-04-20,,28.0,0.0,,,,,,,,,,,,1692.0,11.0,,,,140.0,,,,,9296.0,3971.0,,,686.0,1243.0,,1250.0,,22.0,,0.0,,3836.0
